timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2025/12/04 01:15:42.942, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:42.946, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.050, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.050, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.151, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.152, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.253, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.254, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.355, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.355, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.456, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.457, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.558, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.601, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.702, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.710, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.811, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.812, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:43.913, 17.48 W, 0 %, 1 MiB
2025/12/04 01:15:43.914, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.015, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.018, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.122, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.123, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.224, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.225, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.326, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.327, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.428, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.429, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.530, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.531, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.633, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.634, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.735, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.736, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.837, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.838, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:44.939, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:44.940, 16.39 W, 0 %, 1 MiB
2025/12/04 01:15:45.041, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.045, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.148, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.149, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.250, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.251, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.352, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.353, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.454, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.455, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.556, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.557, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.658, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.659, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.769, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.770, 16.30 W, 0 %, 1 MiB
2025/12/04 01:15:45.871, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.871, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:45.975, 17.56 W, 0 %, 1 MiB
2025/12/04 01:15:45.976, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.077, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.080, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.181, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.182, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.283, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.284, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.385, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.386, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.487, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.487, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.588, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.589, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.690, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:46.691, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.792, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:46.795, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:46.896, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:46.897, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.000, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.001, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.102, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.103, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.204, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.210, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.311, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.313, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.413, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.414, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.515, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.516, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.617, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.618, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.719, 18.05 W, 0 %, 1 MiB
2025/12/04 01:15:47.720, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.820, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:47.824, 16.21 W, 0 %, 1 MiB
2025/12/04 01:15:47.925, 17.47 W, 0 %, 1 MiB
2025/12/04 01:15:47.930, 16.58 W, 0 %, 1 MiB
2025/12/04 01:15:48.034, 17.47 W, 0 %, 4 MiB
2025/12/04 01:15:48.035, 16.58 W, 0 %, 4 MiB
2025/12/04 01:15:48.136, 17.47 W, 0 %, 4 MiB
2025/12/04 01:15:48.137, 16.58 W, 0 %, 4 MiB
2025/12/04 01:15:48.238, 17.47 W, 0 %, 4 MiB
2025/12/04 01:15:48.239, 16.58 W, 0 %, 4 MiB
2025/12/04 01:15:48.340, 17.47 W, 0 %, 4 MiB
2025/12/04 01:15:48.341, 16.58 W, 0 %, 4 MiB
2025/12/04 01:15:48.442, 17.47 W, 0 %, 4 MiB
2025/12/04 01:15:48.443, 16.58 W, 0 %, 4 MiB
